window,value,percentile,total_count
99,127,99.999,166
99,127,100.0,166
100,2,0.0,334
100,7,50.0,324
100,63,90.0,275
100,255,99.0,67
100,255,99.9,67
100,255,99.99,67
100,255,99.999,67
100,255,100.0,67
101,2,0.0,178
101,63,50.0,275
101,255,90.0,241
101,255,99.0,241
101,255,99.9,241
101,255,99.99,241
101,255,99.999,241
101,255,100.0,241
102,1,0.0,57
102,3,50.0,526
102,255,90.0,141
102,255,99.0,141
102,255,99.9,141
102,255,99.99,141
102,255,99.999,141
102,255,100.0,141
103,1,0.0,46
103,3,50.0,638
103,15,90.0,275
103,127,99.0,41
103,127,99.9,41
103,127,99.99,41
103,127,99.999,41
103,127,100.0,41
104,2,0.0,270
104,7,50.0,239
104,127,90.0,217
104,127,99.0,217
104,127,99.9,217
104,127,99.99,217
104,127,99.999,217
104,127,100.0,217
105,1,0.0,1
105,7,50.0,443
105,127,90.0,118
105,127,99.0,118
105,127,99.9,118
105,127,99.99,118
105,127,99.999,118
105,127,100.0,118
106,2,0.0,418
106,7,50.0,289
106,15,90.0,276
106,127,99.0,17
106,127,99.9,17
106,127,99.99,17
106,127,99.999,17
106,127,100.0,17
107,2,0.0,512
107,3,50.0,512
107,127,90.0,192
107,127,99.0,192
107,127,99.9,192
107,127,99.99,192
107,127,99.999,192
107,127,100.0,192
108,2,0.0,633
108,3,50.0,633
108,63,90.0,275
108,255,99.0,92
108,255,99.9,92
108,255,99.99,92
108,255,99.999,92
108,255,100.0,92
109,2,0.0,106
109,63,50.0,275
109,255,90.0,268
109,255,99.0,268
109,255,99.9,268
109,255,99.99,268
109,255,99.999,268
109,255,100.0,268
110,8,0.0,131
110,31,50.0,428
110,255,90.0,166
110,255,99.0,166
110,255,99.9,166
110,255,99.99,166
110,255,99.999,166
110,255,100.0,166
111,2,0.0,176
111,7,50.0,483
111,63,90.0,275
111,255,99.0,66
111,255,99.9,66
111,255,99.99,66
111,255,99.999,66
111,255,100.0,66
112,2,0.0,424
112,15,50.0,274
112,127,90.0,241
112,127,99.0,241
112,127,99.9,241
112,127,99.99,241
112,127,99.999,241
112,127,100.0,241
113,2,0.0,343
113,7,50.0,239
113,127,90.0,142
113,127,99.0,142
113,127,99.9,142
113,127,99.99,142
113,127,99.999,142
113,127,100.0,142
114,2,0.0,442
114,7,50.0,240
114,63,90.0,275
114,127,99.0,43
114,127,99.9,43
114,127,99.99,43
114,127,99.999,43
114,127,100.0,43
115,1,0.0,506
115,1,50.0,506
115,127,90.0,219
115,127,99.0,219
115,127,99.9,219
115,127,99.99,219
115,127,99.999,219
115,127,100.0,219
116,2,0.0,273
116,7,50.0,333
116,127,90.0,120
116,127,99.0,120
116,127,99.9,120
116,127,99.99,120
116,127,99.999,120
116,127,100.0,120
117,2,0.0,432
117,7,50.0,274
117,31,90.0,276
117,127,99.0,18
117,127,99.9,18
117,127,99.99,18
117,127,99.999,18
117,127,100.0,18
118,2,0.0,465
118,7,50.0,67
118,255,90.0,193
118,255,99.0,193
118,255,99.9,193
118,255,99.99,193
118,255,99.999,193
