window,value,percentile,total_count
92,127,99.9,40
92,127,99.99,40
92,127,99.999,40
92,127,100.0,40
93,4,0.0,510
93,7,50.0,510
93,31,90.0,200
93,63,99.0,16
93,63,99.9,16
93,63,99.99,16
93,63,99.999,16
93,63,100.0,16
94,2,0.0,416
94,7,50.0,194
94,127,90.0,114
94,127,99.0,114
94,127,99.9,114
94,127,99.99,114
94,127,99.999,114
94,127,100.0,114
95,0,0.0,425
95,1,50.0,268
95,63,90.0,275
95,127,99.0,15
95,127,99.9,15
95,127,99.99,15
95,127,99.999,15
95,127,100.0,15
96,2,0.0,201
96,7,50.0,323
96,127,90.0,190
96,127,99.0,190
96,127,99.9,190
96,127,99.99,190
96,127,99.999,190
96,127,100.0,190
97,2,0.0,263
97,7,50.0,372
97,63,90.0,275
97,127,99.0,90
97,127,99.9,90
97,127,99.99,90
97,127,99.999,90
97,127,100.0,90
98,4,0.0,671
98,7,50.0,671
98,127,90.0,266
98,127,99.0,266
98,127,99.9,266
98,127,99.99,266
98,127,99.999,266
98,127,100.0,266
99,2,0.0,347
99,7,50.0,404
99,127,90.0,166
99,127,99.0,166
99,127,99.9,166
99,127,99.99,166
99,127,99.999,166
99,127,100.0,166
100,2,0.0,57
100,7,50.0,602
100,15,90.0,276
100,127,99.0,65
100,127,99.9,65
100,127,99.99,65
100,127,99.999,65
100,127,100.0,65
101,2,0.0,110
101,31,50.0,275
101,127,90.0,240
101,127,99.0,240
101,127,99.9,240
101,127,99.99,240
101,127,99.999,240
101,127,100.0,240
102,2,0.0,245
102,7,50.0,616
102,63,90.0,139
102,63,99.0,139
102,63,99.9,139
102,63,99.99,139
102,63,99.999,139
102,63,100.0,139
103,4,0.0,799
103,7,50.0,799
103,15,90.0,162
103,63,99.0,39
103,63,99.9,39
103,63,99.99,39
103,63,99.999,39
103,63,100.0,39
104,2,0.0,65
104,7,50.0,446
104,63,90.0,214
104,63,99.0,214
104,63,99.9,214
104,63,99.99,214
104,63,99.999,214
104,63,100.0,214
105,2,0.0,250
105,7,50.0,361
105,63,90.0,113
105,63,99.0,113
105,63,99.9,113
105,63,99.99,113
105,63,99.999,113
105,63,100.0,113
106,2,0.0,100
106,7,50.0,613
106,63,90.0,274
106,127,99.0,13
106,127,99.9,13
106,127,99.99,13
106,127,99.999,13
106,127,100.0,13
107,2,0.0,80
107,31,50.0,451
107,127,90.0,188
107,127,99.0,188
